 节点导热率：  界面导热率：
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000          1.0000
  1.0000
